,Restaurant_Name,Ratings,Cusines,Location,Delivery_review_no,Restaurant_link,Price_for_one
0,Hotel Empire,4.3,Kebabs,Brigade Road,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,450
1,Protein Station,4.6,Salads,Basavanagudi,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
2,Halli Donne Biryani,3.9,South Indian,Koramangala,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
3,Edesia by Freshmenu,3.9,Bakery,Richmond Town,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
4,Mangalore Sea Palate,4.1,South Indian,Jayanagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
5,Sree Ganesha Fruit Juice Centre,4.6,Juices,Frazer Town,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
6,Chole Maharaj,4.6,North Indian,Rajajinagar,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,299
7,Melting Cheese,4.6,Fast Food,Basavanagudi,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
8,Foo Brigade Road,4.1,Chinese,PRESTIGE FORUM REX,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
9,Chaayos Chai+Snacks=Relax,4.4,Beverages,Cunningham Road,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
10,Adithya Tiffin Centre,3.7,North Indian,Shanti Nagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
11,PizzaExpress,3.8,Italian,Koramangala,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
12,Subway,4.1,Salads,Ashok Nagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
13,Vasavi Andhra Mess,3.8,Andhra,Malleswaram,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
14,The Home Bakery,4.6,Desserts,Frazer Town,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
15,Al-Bek,4.1,Tandoor,Rajajinagar,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
16,FreshMenu,4.2,Chinese,Richmond Road,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
17,Nagarjuna,4.4,South Indian,Ashok Nagar,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
18,Sri Udupi Park (100ft Road),4.3,North Indian,Indiranagar,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
19,Mani's Dum Biryani,4.3,Biryani,Ulsoor,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,499
20,McDonald's,4.4,Beverages,Ashok Nagar,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
21,Hari Super Sandwich (3rd Block),4.0,Snacks,Jayanagar,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
22,New Taj Darbar,3.4,Indian,Shivaji Nagar,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
23,Leon's - Burgers & Wings (Leon Grill),4.3,Snacks,Frazer Town,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
24,Nandhana Palace,4.2,Andhra,Domlur,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
25,Taste of malabar,4.2,South Indian,BTM Layout,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,230
26,Paakashala,4.3,North Indian,Magrath Road,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
27,Natraj Chole Bhature,4.2,Chaat,Jayanagar,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,299
28,New Ambur Biryani Point,4.0,Chinese,Adugodi,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
29,Vijayalakshmi,4.1,North Indian,Basavanagudi,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
30,Roti Ghar,4.2,South Indian,Basavanagudi,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
31,Chikpet Donne Biryani House Palace Guttahalli,4.0,South Indian,Sheshadripuram,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
